#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:52 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/163/226&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51630226
#Name: J/AJ/163/226
#Title: Classifying Be Star Variability with TESS I. (Labadie-Bartz+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/aj/163/226	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/163/226	    IVOID of underlying data collection
#INFO	creator=Labadie-Bartz J.	    First author or institution
#INFO	cites=bibcode:2022AJ....163..226L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/163/226	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51630226	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_163_226_table2:
#Name: J/AJ/163/226/table2
#Title: Table of full (including the non-Be stars)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	TIC	(I10)	Input Catalog identifier	[ucd=meta.id;meta.table]
#Column	OName	(a19)	Common name	[ucd=meta.id;meta.main]
#Column	SpT	(a10)	Spectral type, BeSS database	[ucd=src.spType]
#Column	q	(I1)	[0/1] Data quality (1)	[ucd=meta.code.qual]
#Column	Be	(A1)	Be type (2)	[ucd=src.class]
#Column	signals	(a13)	Signals (3)	[ucd=meta.code]
#Column	Ns	(I1)	[0/8]? Number of group identified in light curve	[ucd=meta.number]
#Column	tgs	(A1)	Typical groups (4)	[ucd=meta.code]
#Column	fg1	(F5.2)	[0/3.28]? Central frequency of g1	[ucd=em.freq]
#Column	fg2	(F5.2)	[0.8/6.53]? Central frequency of g2	[ucd=em.freq]
#Column	gratio	(A4)	Stronger group?	[ucd=meta.code]
#Column	Tmag	(F5.2)	[4.05/12.73] TESS Magnitude	[ucd=phot.mag;em.opt.I]
#Column	contratio	(F7.4)	[0.0001/14.7] Contamination ratio (5)	[ucd=meta.code]
#Column	RAJ2000	(F16.12)	[0.93/360] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	[-80.2/18.6] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SectorsC1	(a29)	TESS Sectors, C1	[ucd=obs.field]
#Column	SectorsC3	(a32)	TESS Sectors, C3	[ucd=obs.field]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	TIC	OName	SpT	q	Be	signals	Ns	tgs	fg1	fg2	gratio	Tmag	contratio	RAJ2000	DEJ2000	SectorsC1	SectorsC3	Simbad
     119	 134653865	V817 Cen           	B3IVe     	1	Y	L/F+/G       	3	Y	 0.56	 1.08	g2  	 5.61	 0.0006	182.227458333000	-41.23160277780	10                           	37                              	Simbad
     120	 138187342	HD 136556          	B2.5Vne   	1	Y	L/F/G        	4	Y	 1.90	 3.77	sim.	 8.72	 0.0738	230.833950000000	-50.11624000000	12                           	38                              	Simbad
     121	 139385056	FY CMa             	B1IIe     	1	Y	I/H/G        	5	N	     	     	    	 5.61	 0.0038	111.747833333000	-23.08602222220	7                            	34                              	Simbad
     122	 139472176	HD 14850           	B8Ve      	1	Y	G            	2	Y	 0.77	 1.50	g1  	 8.58	 0.0001	035.752180000000	-29.61945000000	3                            	30                              	Simbad
     123	 139870215	HD 71823           	B3Vne     	1	Y	S/F+/G       	3	Y	 1.33	 2.55	g2  	 8.77	 0.0497	126.867310000000	-47.72878000000	8-9                          	34-36                           	Simbad
     124	 140001327	HD 72014           	B1.5Vnne  	1	Y	S/I/L/H/V/F/G	4	Y	 1.57	 3.30	sim.	 6.39	 0.0378	127.216940000000	-42.58748000000	8-9                          	34-35                           	Simbad
     125	 140006471	HD 72067           	B2Vne     	1	Y	I/L/F+/G     	4	Y	 2.09	 4.09	g2  	 6.01	 0.0035	127.281541667000	-44.16041388890	8-9                          	34-35                           	Simbad
     126	 140031673	HD 71510           	B2Ve      	1	S	S/L/G        	6	?	 0.79	 2.05	sim.	 5.39	 0.0440	126.380541667000	-51.72741666670	8-9                          	34-35-36                        	Simbad
     127	 140132301	HD 72126           	B2nne     	1	U	             	 	 	     	     	    	 9.04	 0.0267	127.336210000000	-43.84224000000	8-9                          	34-35                           	Simbad
     128	 140300162	NR Vel             	B2Ve      	1	Y	S/L/G        	3	Y	 0.81	 1.56	g1  	 7.59	 0.0147	126.960360000000	-50.10002000000	8                            	34-35-36                        	Simbad
     129	 141037731	HD 136968          	B5Vne     	1	Y	I/H/G        	3	Y	 2.71	 5.28	g1  	 8.42	 0.0858	231.480240000000	-53.77106000000	12                           	38                              	Simbad
     130	 141898455	CD-45 4394         	B2Vne     	1	Y	S/L/F+/G     	3	Y	 1.77	 3.44	g2  	 9.80	 0.0505	130.212210000000	-46.09592000000	8-9                          	35-36                           	Simbad
     131	 141973945	bet Hya            	B9IIIspe  	1	N	             	 	 	     	     	    	 4.62	 0.0001	178.227166667000	-33.90813055560	10                           	36-37                           	Simbad
     132	 143543729	HD 64716           	B6Ve      	1	Y	             	0	N	 0.00	     	    	 8.49	 0.0228	118.299530000000	-45.21878000000	7-8                          	34-35                           	Simbad
     133	 144028101	mu Lup             	B8Ve      	1	Y	L/H/V/G      	2	N	     	     	    	 4.74	 0.1596	229.633416667000	-47.87527777780	12                           	38                              	Simbad
     134	 145373620	HD 75551           	B2Vne     	1	Y	S/L/F+/G     	3	Y	 1.42	 2.84	sim.	 9.08	 0.0182	132.143320000000	-50.37032000000	8-9                          	35-36                           	Simbad
     135	 145506624	CD-47 4412         	A5e       	1	Y	G            	3	Y	 0.58	 1.20	g1  	 9.08	 0.0379	132.474030000000	-48.06083000000	8-9                          	35-36                           	Simbad
     136	 146036695	r Pup              	B1.5IIIe  	1	Y	L/G          	3	Y	 1.04	 1.96	sim.	 5.15	 0.0048	123.373000000000	-35.89951944440	7-8                          	34-35                           	Simbad
     137	 146454560	HD 137836          	B8Vne     	1	Y	S/G          	2	Y	 0.75	 1.76	g1  	 8.76	 0.0793	232.600060000000	-51.11001000000	12                           	38                              	Simbad
     138	 147244857	HD 70234           	B9IIIe    	1	S	I+           	0	N	     	     	    	 8.70	 0.0637	124.908550000000	-31.82346000000	8                            	34-35                           	Simbad
     139	 151131426	HV Lup             	B1Vne     	1	N	             	 	 	     	     	    	 7.59	 0.0267	232.072590000000	-45.13494000000	12                           	38                              	Simbad
     140	 151300497	V1075 Sco          	O8Ve      	1	N	             	 	 	     	     	    	 5.82	 0.0134	258.830208333000	-33.54841944440	12                           	39                              	Simbad
     141	 153541389	V1390 Ori          	B2Ve      	1	Y	S/G          	4	Y	 1.62	 3.19	g1  	 8.07	 0.0350	093.425780000000	+08.71240000000	6                            	33                              	Simbad
     142	 155573117	CD-27 5181         	Be        	1	S	I            	0	N	     	     	    	10.59	 0.1251	123.515410000000	-28.32386000000	7-8                          	34                              	Simbad
     143	 156627345	HD 250980          	B0e       	1	Y	G            	2	Y	 0.71	 1.41	g1  	 9.31	 0.0385	090.892690000000	+09.66518000000	6                            	33                              	Simbad
     144	 158734620	HD 38856           	B5Ve      	1	Y	G            	3	Y	 2.88	 5.62	sim.	 7.35	 0.0073	087.191550000000	+00.72555000000	6                            	33                              	Simbad
     145	 159059628	HD 39557           	B5IIIe    	1	Y	G            	3	Y	 1.50	 3.02	g1  	 8.32	 0.0037	088.363090000000	+00.77922000000	6                            	33                              	Simbad
     146	 160401972	V1018 Cen          	B2pe      	1	Y	G            	4	Y	 1.40	 2.75	sim.	 7.99	 0.0217	222.989990000000	-40.80584000000	11                           	38                              	Simbad
     147	 166703712	V774 Cen           	B3Vne     	1	Y	L/F+/G       	3	Y	 2.30	 4.50	sim.	 7.88	 0.0021	208.367580000000	-39.05722000000	11                           	38                              	Simbad
     148	 167107487	HD 43264           	B9IIIe    	1	Y	G            	2	Y	 0.76	 1.52	g1  	 7.53	 0.0087	093.898830000000	+07.65231000000	6                            	33                              	Simbad
     149	 167110617	HD 43285           	B5IVe     	1	Y	I/H/V/G      	4	N	     	     	    	 6.18	 0.0026	093.917405000000	+06.06617800000	6                            	33                              	Simbad
     150	 168115492	TYC 4812-2496-1    	none      	1	Y	I+           	0	N	     	     	    	10.06	 0.0347	101.523580000000	-05.96969600000	6                            	33                              	Simbad
     151	 168505959	HD 112107          	B9.5Vne   	1	Y	             	0	N	 0.00	     	    	 9.80	 0.1424	193.672120000000	-52.48407000000	11                           	37-38                           	Simbad
     152	 168627067	HD 54464           	B2.5IIIe  	1	Y	G            	2	Y	 1.46	 2.85	g1  	 8.33	 0.0238	107.199980000000	-04.05745000000	7                            	33                              	Simbad
     153	 171895762	V828 Ara           	B2IVne    	1	Y	L/F+/G       	3	Y	 1.56	 3.00	sim.	 6.07	 0.0129	255.447460000000	-58.95826000000	12                           	39                              	Simbad
     154	 171896106	HD 153262          	B2Vnne    	1	Y	G            	2	N	     	     	    	 7.58	 0.0237	255.475340000000	-59.04760000000	12                           	39                              	Simbad
     155	 173381049	HD 59197           	B6Ve      	1	Y	I            	0	N	     	     	    	 8.02	 0.0038	111.747720000000	-41.62909000000	7-8                          	                                	Simbad
     156	 173956099	HD 60669           	B8IIIe    	1	Y	G            	2	Y	 2.13	 4.29	sim.	 9.72	 0.0327	113.461990000000	-40.92995000000	7-8                          	34-35                           	Simbad
     157	 174008063	z Pup              	B3Vne     	1	Y	G            	7	Y	 0.87	 1.80	g2  	 5.53	 0.0021	113.462666667000	-36.33839166670	7-8                          	34                              	Simbad
     158	 174121793	HD 155438          	B6IVne    	1	Y	G            	2	Y	 1.22	 2.44	sim.	 8.34	 0.0343	258.638890000000	-54.37012000000	12                           	39                              	Simbad
     159	 175523591	V392 Pup           	B7Ve      	1	Y	G            	4	Y	 2.52	 5.00	g1  	 6.00	 0.0025	116.543916667000	-37.93366944440	7-8                          	34-35                           	Simbad
     160	 177204351	HD 53667           	B0IIIe    	1	Y	S            	0	N	     	     	    	 7.44	 0.0071	106.396720000000	-08.72889000000	7                            	33                              	Simbad
     161	 177853845	HD 54858           	A0IIe     	1	Y	G            	5	Y	 1.83	 3.64	g1  	 8.21	 0.0218	107.547280000000	-09.33631000000	7                            	33                              	Simbad
     162	 178719204	HD 70340           	A2Vnnpe   	1	N	             	 	 	     	     	    	 6.51	 0.0005	125.334460000000	-01.60201000000	7                            	34                              	Simbad
     163	 180092491	DO Cru             	B2Ve      	1	Y	S/L/F+/G     	3	Y	 1.61	 3.20	g2  	 9.99	 0.6452	188.885310000000	-64.22124000000	11                           	37-38                           	Simbad
     164	 181506336	HD 74867           	B7IVe     	1	Y	G            	2	Y	 1.78	 3.58	g1  	 8.77	 0.0109	131.258420000000	-41.51618000000	8-9                          	35                              	Simbad
     165	 181600430	HD 75081           	B9Ve      	1	Y	I/G          	3	Y	 1.30	 2.63	g1  	 6.22	 0.0013	131.599020000000	-41.12536000000	8-9                          	35                              	Simbad
     166	 186979808	CD-29 6963         	Be        	1	Y	G            	2	Y	 0.62	 1.63	g2  	 8.91	 0.2059	134.201010000000	-30.18387000000	8                            	35                              	Simbad
     167	 187458882	HD 57682           	O9Ve      	1	N	             	 	 	     	     	    	 5.96	 0.0035	110.508550000000	-08.97936000000	7                            	34                              	Simbad
     168	 189271286	HD 81753           	B6Ve      	1	Y	G            	3	Y	 1.53	 3.00	g1  	 6.75	 0.0029	141.687010000000	-28.78774000000	8                            	35                              	Simbad
     169	 190393155	HD 75925           	B4Vnne    	1	Y	S/I/H/V/G    	3	N	     	     	    	 8.68	 0.1401	132.866720000000	-41.85731000000	8-9                          	35                              	Simbad
     170	 190558492	HD 139790          	B2IIIne   	1	Y	S/G          	4	Y	 1.02	 1.96	sim.	 8.23	 0.1033	235.582530000000	-49.99804000000	12                           	38                              	Simbad
     171	 191312952	HD 129772          	B8IIIpe   	1	S	G            	3	Y	 3.15	 6.28	g1  	 8.47	 0.0322	221.653340000000	-56.41896000000	11-12                        	38                              	Simbad
     172	 200519617	V1374 Ori          	B8e       	1	Y	S/G          	3	Y	 0.96	 1.91	sim.	 7.48	 0.0041	082.920990000000	+09.22604000000	6                            	32                              	Simbad
     173	 201373582	HD 42054           	B4IVe     	0	 	             	 	 	     	     	    	 5.85	 0.0003	091.765291666700	-34.31202222220	                             	32-33                           	Simbad
     174	 203452834	HL Lib             	B9IVe     	1	N	             	 	 	     	     	    	 6.37	 0.0002	217.668590000000	-22.46090000000	11                           	38                              	Simbad
     175	 206792542	MWC 527            	B3        	1	Y	G            	5	Y	 1.52	 3.01	g2  	 8.79	 0.0158	096.708679000000	+10.93211800000	6                            	33                              	Simbad
     176	 206840215	BD+08 1343         	A2        	1	Y	             	0	N	 0.00	     	    	 8.94	 0.0124	096.845243000000	+08.41192000000	6                            	33                              	Simbad
     177	 207020262	BD+08 1366         	(B8?)     	1	Y	I/G          	5	?	 0.75	 1.59	sim.	 8.65	 0.0261	097.500775000000	+08.29594300000	6                            	33                              	Simbad
     178	 207043035	HD 258782          	B9IVe     	0	 	             	 	 	     	     	    	 9.19	14.6662	097.790090000000	+11.25585000000	6                            	33                              	Simbad
     179	 207043038	HD 45995           	B2Vnne    	1	Y	G            	4	Y	 1.11	 2.08	g1  	 6.21	 0.0653	097.789820000000	+11.25139000000	6                            	33                              	Simbad
     180	 207162338	HD 145040          	B8IVe     	0	 	             	 	 	     	     	    	 9.41	 0.7227	242.900530000000	-54.31474000000	12                           	39                              	Simbad
     181	 207176480	HD 19818           	B9.5Vne   	1	N	             	 	 	     	     	    	 8.80	 0.0006	047.108650000000	-59.37373000000	2-3                          	29-30                           	Simbad
     182	 207580161	HD 119835          	B8.5IIIne 	1	S	             	0	N	 0.00	     	    	 9.42	 0.1039	206.780690000000	-57.67490000000	11                           	38                              	Simbad
     183	 207633164	HD 119958          	B8Ve      	1	Y	G            	2	Y	 2.80	 5.69	g1  	10.11	 0.2135	206.997930000000	-57.69508000000	11                           	38                              	Simbad
     184	 207881543	HD 120330          	B2.5Vnne  	1	Y	G            	4	Y	 1.64	 3.55	g1  	 7.69	 0.0339	207.608750000000	-59.74802000000	11                           	38                              	Simbad
     185	 208495676	HD 146531          	B3Ve      	1	Y	S/L/G        	3	Y	 2.22	 4.46	sim.	 9.57	 0.2943	244.981300000000	-58.16719000000	12                           	39                              	Simbad
     186	 208580496	HD 146463          	B3Vnne    	1	Y	G            	4	Y	 1.91	 3.87	g1  	 8.02	 0.3269	244.809320000000	-54.96164000000	12                           	39                              	Simbad
     187	 209829040	HD 122450          	B2.5ne    	1	Y	S/L/G        	2	Y	 1.35	 2.65	sim.	 8.56	 0.0704	210.965280000000	-59.46311000000	11                           	38                              	Simbad
     188	 210283000	HD 123042          	B8.5IVe   	0	 	             	 	 	     	     	    	 8.89	 0.0588	211.830060000000	-59.51159000000	11                           	38                              	Simbad
     189	 210506327	HD 123296          	B8.5Ve    	1	Y	             	0	N	 0.00	     	    	 8.47	 0.0751	212.187600000000	-59.71707000000	11                           	38                              	Simbad
     190	 211750828	HD 153222          	B1IIe     	1	Y	S/L/F+/G     	3	Y	 2.12	 3.88	g1  	 8.58	 0.0501	255.119540000000	-49.25415000000	12                           	                                	Simbad
     191	 212551379	HD 153879          	B1.5Vne   	1	Y	G            	3	Y	 1.67	 3.26	g1  	 8.64	 0.2554	256.183470000000	-51.40822000000	12                           	39                              	Simbad
     192	 212755033	HD 154154          	B2Vnne    	1	Y	G            	3	Y	 1.91	 3.95	g1  	 8.27	 0.0584	256.529630000000	-48.41867000000	12                           	39                              	Simbad
     193	 212806475	HD 154111          	B5IVe     	1	Y	I/G          	3	Y	 1.48	 3.06	g1  	 8.12	 0.0801	256.562830000000	-52.48225000000	12                           	39                              	Simbad
     194	 213153401	HD 154538          	B3Ve      	1	U	             	 	 	     	     	    	 8.46	 0.6131	257.131550000000	-49.46774000000	12                           	39                              	Simbad
     195	 215511795	HD 144555          	B1Vne     	1	Y	L/F+/G       	4	Y	 1.53	 2.76	g1  	 8.97	 0.1109	242.230620000000	-51.96199000000	12                           	39                              	Simbad
     196	 215983126	HD 144970          	B0e       	1	S	S/L          	0	N	     	     	    	 8.69	 0.2286	242.697560000000	-49.02210000000	12                           	39                              	Simbad
     197	 216059854	HD 145107          	B5IIIe    	0	 	             	 	 	     	     	    	 9.39	 0.0772	242.914840000000	-51.61938000000	12                           	39                              	Simbad
     198	 216158265	HD 155436          	B2.5e     	1	Y	I/H/G        	1	N	     	     	    	 8.19	 0.0509	258.432350000000	-44.72917000000	12                           	39                              	Simbad
     199	 216649528	V1076 Sco          	B2.5Vnne  	1	Y	G            	3	Y	 2.22	 4.74	g2  	 6.58	 0.1819	259.073280000000	-42.33906000000	12                           	39                              	Simbad
     200	 216775415	HD 156008          	B8IVe     	1	Y	S/G          	2	Y	 1.60	 3.16	g1  	 9.46	 0.3459	259.377820000000	-47.73961000000	12                           	39                              	Simbad
     201	 216875138	HD 156172          	O9IIe     	1	Y	I+/H         	0	N	     	     	    	 7.68	 0.0458	259.498770000000	-42.06060000000	12                           	39                              	Simbad
     202	 217134952	HD 156398          	B9.5V+... 	1	Y	S/G          	1	N	     	     	    	 6.38	 0.0126	259.852590000000	-44.22299000000	12                           	39                              	Simbad
     203	 217597679	HD 157099          	B3Vne     	1	Y	G            	4	Y	 1.66	 3.47	g1  	 8.63	 0.2127	260.806510000000	-42.82920000000	12                           	39                              	Simbad
     204	 217667184	iot Ara            	B2IIIne   	1	Y	G            	4	Y	 1.86	 3.69	sim.	 5.34	 0.0177	260.817000000000	-47.46819722220	12                           	39                              	Simbad
     205	 218139464	V750 Ara           	B2Vne     	1	Y	G            	3	Y	 0.83	 1.63	g1  	 6.48	 0.0474	261.978400000000	-47.02622000000	12                           	39                              	Simbad
     206	 218854809	V830 Ara           	B2IIpe    	1	Y	S/L/G        	3	Y	 1.38	 2.44	sim.	 8.22	 0.0540	263.484990000000	-45.62723000000	12                           	39                              	Simbad
     207	 220114410	TYC 158-270-1      	B8III     	1	Y	G            	2	Y	 1.47	 2.91	g1  	 9.56	 0.0715	098.793411000000	+06.57168400000	6                            	33                              	Simbad
     208	 220322383	15 Mon             	B1Ve      	1	N	             	 	 	     	     	    	 4.86	 0.1177	100.244416667000	+09.89575555556	6                            	33                              	Simbad
     209	 220728104	HD 147302          	B2IIIne   	1	Y	S/L/G        	2	Y	 2.01	 4.27	g1  	 7.64	 0.0728	246.005320000000	-55.45371000000	12                           	39                              	Simbad
     210	 221040358	V376 Nor           	B9IVe     	1	Y	S/L          	0	N	     	     	    	 8.55	 2.2878	246.975710000000	-59.84876000000	12                           	39                              	Simbad
     211	 221092292	HD 148027          	B9IVe     	1	Y	S/G          	2	N	     	     	    	 9.84	 0.8488	247.051220000000	-54.60889000000	12                           	39                              	Simbad
     212	 221155177	HD 148028          	B5IVe     	1	Y	I+           	0	N	     	     	    	 8.47	 0.1445	247.112730000000	-56.39764000000	12                           	39                              	Simbad
     213	 223994987	HD 147756          	B2Vne     	1	Y	G            	4	Y	 1.43	 3.05	sim.	 8.44	 0.0827	246.442510000000	-45.54286000000	12                           	39                              	Simbad
     214	 224244458	bet Scl            	B9.5IVmnpe	1	N	             	 	 	     	     	    	 4.50	 0.0002	353.242750000000	-37.81826666670	2                            	29                              	Simbad
     215	 224802716	HD 148001          	B5IIIe    	1	Y	G            	2	N	     	     	    	 8.81	 0.0706	246.779410000000	-43.38802000000	12                           	39                              	Simbad
     216	 225735711	OZ Nor             	B2IIe     	1	Y	S/L/F/G      	2	N	     	     	    	 6.91	 0.0246	247.207850000000	-44.81260000000	12                           	39                              	Simbad
     217	 226712279	HD 148567          	B2IIne    	0	 	             	 	 	     	     	    	 7.35	 0.5890	247.761730000000	-46.47940000000	                             	39                              	Simbad
     218	 229210549	V1059 Sco          	B2IIe     	0	 	             	 	 	     	     	    	 8.60	 0.0563	248.952750000000	-42.12292000000	                             	39                              	Simbad
     219	 229355590	HD 259631          	B5e       	1	Y	G            	4	Y	 1.64	 3.12	g1  	 9.29	 0.0292	098.430910000000	+08.03615000000	6                            	33                              	Simbad
     220	 229356387	HD 259597          	B0.5Vnne  	1	Y	G            	3	Y	 1.08	 2.26	g1  	 8.25	 0.0128	098.384320000000	+08.33556200000	6                            	33                              	Simbad
     221	 231038852	HD 149568          	B6Vne     	0	 	             	 	 	     	     	    	 9.27	 1.3593	249.477630000000	-47.30893000000	12                           	39                              	Simbad
     222	 231942365	HD 43789           	B6.5Ve    	1	Y	S/I          	0	N	     	     	    	 8.60	 0.0195	093.985650000000	-44.61962000000	5-6-7                        	32-33-34                        	Simbad
     223	 232367669	HD 42406           	B4IVe     	0	 	             	 	 	     	     	    	 7.80	 0.0026	092.653090000000	+03.87173000000	                             	33                              	Simbad
     224	 233563508	HD 150288          	B2Ve      	1	Y	G            	4	Y	 1.22	 2.49	sim.	 8.41	 0.4876	250.568540000000	-47.01566000000	12                           	39                              	Simbad
     225	 233969306	EM* RJHA 40        	B3Ib      	1	Y	G            	3	Y	 1.05	 2.28	sim.	11.95	 0.0956	100.624113000000	+00.89950600000	6                            	33                              	Simbad
     226	 234230792	V739 Mon           	B0.5IVe   	1	Y	S/I/H/G      	4	Y	 1.37	 2.80	sim.	 8.85	 0.0349	101.988610000000	+00.77611000000	6                            	33                              	Simbad
     227	 234422456	HD 150422          	B1.5ne    	1	Y	S/G          	3	Y	 1.39	 2.75	g1  	 8.45	 0.5959	250.781030000000	-46.50655000000	12                           	39                              	Simbad
     228	 234752189	HD 150625          	B8e       	1	Y	G            	3	Y	 1.46	 2.91	g1  	 8.88	 0.2173	251.072960000000	-44.77174000000	12                           	39                              	Simbad
     229	 234752466	HD 150533          	B0e       	1	Y	S/I/H        	0	N	     	     	    	 8.68	 0.1152	250.926130000000	-45.46263000000	12                           	39                              	Simbad
     230	 234806470	V725 Mon           	B0.5IVe   	1	Y	L/G          	3	Y	 1.09	 2.18	g1  	 8.48	 0.0331	097.573480000000	+02.84792000000	6                            	33                              	Simbad
     231	 234813367	AX Mon             	B2IIIpshev	1	N	             	 	 	     	     	    	 5.82	 0.0018	097.637240000000	+05.86700000000	6                            	33                              	Simbad
     232	 234835218	Cl* NGC 2244 PS 26 	B7Ve      	1	N	             	 	 	     	     	    	11.90	 0.4302	097.873990000000	+04.91364000000	6                            	33                              	Simbad
     233	 234853418	AS 128             	B5        	1	Y	I+/H/G       	3	?	 2.43	 4.60	sim.	 9.70	 0.0096	098.068329000000	+01.17470400000	6                            	33                              	Simbad
     234	 234887704	Cl* NGC 2244 PS 543	B8Ve      	1	Y	S/I/H        	0	N	     	     	    	12.35	 0.1139	098.173950000000	+04.89400000000	6                            	33                              	Simbad
     235	 234929785	HD 259440          	B0pe      	1	Y	S/G          	3	Y	 0.86	 1.65	sim.	 8.32	 0.0101	098.246910000000	+05.80036000000	6                            	33                              	Simbad
     236	 234933368	EM* GGA 399        	B3Ve      	1	Y	L/F/G        	3	Y	 0.76	 1.54	sim.	10.46	 0.1915	098.406230000000	+04.81306000000	6                            	33                              	Simbad
     237	 234933597	HD 46484           	B0.5IVe   	1	Y	S/I/H/G      	1	N	     	     	    	 7.37	 0.0250	098.476700000000	+04.66238000000	6                            	33                              	Simbad
     238	 235376820	HD 50581           	A0IVe     	1	Y	I+           	0	N	     	     	    	 7.53	 0.0128	103.557620000000	+06.68797000000	6                            	33                              	Simbad
     239	 235488755	HD 266894          	Be        	1	Y	S/I          	0	N	     	     	    	10.64	 0.0363	104.258300000000	+09.27040000000	6                            	33                              	Simbad
     240	 235540713	HD 51506           	B2.5IVe   	1	Y	S/G          	3	Y	 2.26	 4.00	g2  	 7.81	 0.1291	104.483320000000	+06.54913000000	6                            	33                              	Simbad
     241	 237059039	HD 151113          	B2Ve      	1	Y	G            	4	Y	 1.30	 2.70	g1  	 7.45	 0.0979	251.876410000000	-45.46048000000	12                           	39                              	Simbad
     242	 237532447	BD+00 1654         	B8III     	1	Y	             	0	N	 0.00	     	    	 9.01	 0.0136	102.919160000000	+00.32677300000	6                            	33                              	Simbad
     243	 237651093	HD 50696           	B1.5IIIe  	1	Y	I/H/V/G      	3	Y	 2.16	 4.35	g1  	 9.02	 0.0169	103.592310000000	+00.18187000000	6                            	33                              	Simbad
     244	 237668110	V744 Mon           	B1.5Ve    	1	Y	I/G          	3	Y	 2.34	 4.62	g2  	 8.07	 0.0307	103.806860000000	+05.43400000000	6                            	33                              	Simbad
     245	 237840594	BD+04 1529         	B9V       	1	Y	I/G          	3	Y	 1.77	 3.54	sim.	 9.05	 0.0192	104.805959000000	+04.45498600000	6                            	33                              	Simbad
     246	 238791674	CD-49 3441         	B8e       	1	N	             	 	 	     	     	    	 9.62	 0.1133	123.585270000000	-50.16291000000	8-9                          	34-35-36                        	Simbad
     247	 246189955	HD 328990          	A0e       	1	N	             	 	 	     	     	    	 9.68	 0.9467	252.605780000000	-46.15531000000	12                           	39                              	Simbad
     248	 246796068	HD 152004          	B3IVne    	1	Y	G            	3	Y	 1.51	 2.75	sim.	 8.78	 0.3393	253.277510000000	-47.58162000000	12                           	39                              	Simbad
     249	 247589847	BD+13 976          	A0        	1	Y	             	0	N	 0.00	     	    	10.28	 0.0191	086.405048000000	+13.18918500000	6                            	                                	Simbad
     250	 247699160	HD 152541          	B7Ve      	1	Y	I/G          	1	N	     	     	    	 7.54	 0.3152	254.060430000000	-46.84943000000	12                           	39                              	Simbad
     251	 250213274	HD 130534          	B7Ve      	1	Y	G            	2	N	     	     	    	 8.30	 0.1641	222.672670000000	-52.26460000000	11                           	38                              	Simbad
     252	 253110498	HD 112512          	B7Ve      	1	Y	S/G          	3	Y	 0.96	 1.89	sim.	 8.52	 0.1512	194.503450000000	-59.08432000000	11                           	37-38                           	Simbad
     253	 253177102	HD 112825          	B1.5IVe   	1	Y	S/L/F+/G     	2	Y	 1.30	 2.60	g2  	 9.20	 0.1351	195.099580000000	-59.68544000000	11                           	38                              	Simbad
     254	 253212775	V495 Cen           	Be        	1	N	             	 	 	     	     	    	 9.09	 0.0252	195.395030000000	-56.09191000000	11                           	37-38                           	Simbad
     255	 253304151	HD 113260          	B8.5IIIe  	1	Y	S/G          	2	Y	 1.37	 2.73	g1  	 9.34	 0.0878	195.861660000000	-59.20697000000	11                           	38                              	Simbad
     256	 253380837	HD 113573          	B4Ve      	1	N	             	 	 	     	     	    	 8.67	 0.2845	196.387280000000	-56.85178000000	11                           	37-38                           	Simbad
     257	 254340855	HD 139431          	B2Vne     	1	Y	L/F+/G       	3	Y	 1.99	 3.45	g2  	 7.48	 0.0399	234.940140000000	-42.76745000000	12                           	38                              	Simbad
     258	 256994805	V715 Mon           	B3IIIe    	1	S	I/G          	2	Y	 0.50	 1.00	g2  	 6.26	 0.0013	102.265190000000	+01.00206000000	6                            	33                              	Simbad
     259	 257065501	HD 49585           	B0.5IVe   	1	Y	L/G          	3	Y	 1.40	 2.80	sim.	 9.00	 0.0171	102.284385000000	+00.08944800000	6                            	33                              	Simbad
