#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:53 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/485/3457&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74853457
#Name: J/MNRAS/485/3457
#Title: Rotational modulation in TESS B stars (Balona+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/485/3457	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/485/3457	    IVOID of underlying data collection
#INFO	creator=Balona L.A.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.485.3457B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/485/3457	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74853457	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_485_3457_table1:
#Name: J/MNRAS/485/3457/table1
#Title: List of B stars observed by TESS
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(I9)	TIC star name (NNNNNNNNN)	[ucd=meta.id;meta.main]
#Column	OName	(a15)	Other name	[ucd=meta.id]
#Column	VarType	(a14)	Assigned variability type (GCVS type in parenthesis from Samus et al. 2017ARep...61...80S, Cat. B/gcvs)	[ucd=meta.note;src.var]
#Column	Vmag	(F6.3)	Apparent V magnitude	[ucd=phot.mag;em.opt.V]
#Column	nurot	(F6.3)	? Presumed rotational frequency (in cycles/d)	[ucd=em.freq;src.var]
#Column	Arot	(I5)	? Amplitude of the periodogram peak	[ucd=src.var.amplitude]
#Column	S/N	(I3)	? Signal to noise ratio of the periodogram peak	[ucd=meta.note]
#Column	NH	(I1)	? Number of visible harmonics	[ucd=meta.number]
#Column	ve	(I3)	? Derived equatorial rotational velocity (G1)	[ucd=phys.veloc.rotat]
#Column	vsini	(I3)	? Projected rotational velocity from the literature	[ucd=phys.veloc.rotat]
#Column	Teff	(I5)	? Adopted effective temperature	[ucd=phys.temperature.effective]
#Column	r_Teff	(I2)	? Reference for Teff (G2)	[ucd=meta.ref;pos.frame]
#Column	logLstar	(F5.2)	? Stellar luminosity obtained from the Gaia parallax (Gaia Collaboration 2018A&A...616A...1G, Cat. I/345)	[ucd=phys.luminosity]
#Column	SpType	(a20)	Spectral type ((Be) indicates classical Be star)	[ucd=src.spType]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	OName	VarType	Vmag	nurot	Arot	S/N	NH	ve	vsini	Teff	r_Teff	logLstar	SpType	SimbadName	_RA	_DE
     133	364421326	HD 66109       	ROT?          	 8.190	 1.976	   31	 11	0	385	   	11710	 1	 2.40	B9.5V               	HD 66109           	119.57302	-63.13157
     134	369397090	CD-30 19716    	-             	12.860	      	     	   	 	   	   	39811	19	 1.43	sdB                 	CD-30 19716        	358.15039	-30.16920
     135	369457005	HD 197630      	SPB?          	 5.474	      	     	   	 	   	   	11511	 6	 1.99	B8/9V               	HD 197630          	311.58362	-39.19927
     136	370038084	HD 26109       	-             	 8.580	      	     	   	 	   	   	11710	 1	 1.62	B9.5/A0V            	HD 26109           	060.60598	-70.27213
     137	372913233	HD 65950       	-             	 6.870	      	     	   	 	   	 26	12842	18	 2.88	B8.5IIIpMnHg        	HD 65950           	119.43841	-60.92646
     138	372913582	CD-60 1954     	SPB?          	 8.590	      	     	   	 	   	188	10579	18	 2.13	B9.5V               	CD-60 1954         	119.45490	-60.68364
     139	372913684	HD 65987       	SXARI(EA:)    	 7.590	 0.685	 5892	 93	2	163	 13	12600	18	 2.70	B9.5IVpSi           	HD 65987           	119.51213	-60.61479
     140	373843852	HD 269525      	ACYG          	12.780	      	     	   	 	   	   	28000	 1	     	B0:(LMC)            	HD 269525          	081.56341	-67.49997
     141	389921913	HD 270196      	ACYG          	11.600	      	     	   	 	   	   	22875	 2	     	B1.5Ia(LMC)         	HD 270196          	087.83658	-70.28592
     142	391810734	HD 269655      	ACYG          	12.200	      	     	   	 	   	   	28800	20	     	B0Ia(LMC)           	HD 269655          	082.65770	-68.41089
     143	391887875	HD 269660      	ACYG          	11.190	      	     	   	 	   	   	23790	 1	     	B1.5Ia(LMC)         	HD 269660          	082.69906	-71.06731
     144	404768847	VFTS 533       	ACYG?         	11.820	      	     	   	 	   	 57	19275	 2	     	B1.5Ia+qp(LMC)      	VFTS 533           	084.67807	-69.09517
     145	404768956	NGC 2070 Mel 12	ACYG?         	11.996	      	     	   	 	   	   	28510	20	     	B0/0.5Ia(LMC)       	Cl* NGC 2070 MEL 12	084.69044	-69.10624
     146	404796860	HD 269920      	ACYG          	11.650	      	     	   	 	   	   	18950	 1	     	B5Ia(LMC)           	HD 269920          	084.67706	-69.38587
     147	404852071	Sk-69 265      	ACYG          	11.880	      	     	   	 	   	   	21370	 1	     	B3Ia(LMC)           	Sk-69 265          	085.20335	-69.28089
     148	404933493	HD 269997      	ACYG          	11.200	      	     	   	 	   	   	22580	 1	     	B2.5Ia(LMC)         	HD 269997          	085.33497	-69.08535
     149	404967301	HD 269992      	ACYG          	11.220	      	     	   	 	   	   	18020	 2	     	B2.5:Ia:(LMC)       	HD 269992          	085.36531	-69.80104
     150	410447919	HD 64811       	ROT?          	 8.450	 0.219	  317	 58	0	133	   	20760	 1	 4.38	B4III               	HD 64811           	117.96203	-62.90880
     151	410451677	HD 66409       	SXARI         	 8.410	 0.488	 1292	 98	0	 67	 34	12987	18	 2.28	B8.5IV(HgMn)?       	HD 66409           	119.99086	-60.74680
     152	419065817	HD 1256        	ROT           	 6.488	 1.474	  138	 52	3	186	166	14280	 6	 2.37	B6III/IV            	HD 1256            	004.17643	-20.21006
     153	425057879	HD 269676      	EB/ELL?       	11.550	      	     	   	 	   	120	41000	 1	     	O6+O9(LMC)          	HD 269676          	082.81514	-71.06942
     154	425064757	HD 269696      	EA(EA/D)      	11.138	      	     	   	 	   	   	42000	19	     	sdO(LMC)            	HD 269696          	082.91816	-69.88393
     155	425081475	HD 269700      	ACYG          	10.540	      	     	   	 	   	   	23790	 1	     	B1.5Iaeq(LMC)       	HD 269700          	082.96784	-68.54413
     156	425083410	HD 269698      	ACYG          	12.220	      	     	   	 	   	   	40400	 1	     	O4If(LMC)           	HD 269698          	082.93420	-67.63372
     157	425084841	TYC 8891-3638-1	ACYG          	12.180	      	     	   	 	   	 62	23660	 2	     	B1Ia(LMC)           	TYC 8891-3638-1    	082.96496	-67.03951
     158	441182258	HD 210934      	SPB+ROT?      	 5.430	 1.274	   66	 26	0	235	 56	12526	 6	 2.47	B8III               	HD 210934          	333.57813	-27.76691
     159	441196602	HD 211993      	ROT?          	 8.200	 0.144	   49	 15	0	 20	   	10750	 6	 1.96	B8/9V               	HD 211993          	335.40804	-28.77267
     160	469906369	HD 212581      	MAIA          	 4.495	      	     	   	 	   	200	11271	 8	 2.18	B9.5IVn             	HD 212581          	336.83318	-64.96636

#Table	J_MNRAS_485_3457_table3:
#Name: J/MNRAS/485/3457/table3
#Title: Additional rotational variables identified from the light curves of the Kepler and K2 missions
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A14)	Star name from KIC/EPIC	[ucd=meta.id;meta.main]
#Column	OName	(a12)	Other name	[ucd=meta.id]
#Column	VarType	(a11)	Assigned variability type (GCVS type in parenthesis from Samus et al. 2017ARep...61...80S, Cat. B/gcvs)	[ucd=meta.note;src.var]
#Column	Vmag	(F6.3)	Apparent V magnitude	[ucd=phot.mag;em.opt.V]
#Column	nurot	(F6.3)	Presumed rotational frequency (in cycles/d)	[ucd=em.freq;src.var]
#Column	Arot	(I5)	Amplitude of the periodogram peak	[ucd=src.var.amplitude]
#Column	S/N	(I2)	Signal to noise ratio of the periodogram peak	[ucd=meta.note]
#Column	NH	(I1)	Number of visible harmonics	[ucd=meta.number]
#Column	ve	(I3)	Derived equatorial rotational velocity (G1)	[ucd=phys.veloc.rotat]
#Column	vsini	(I3)	Projected rotational velocity from the literature	[ucd=phys.veloc.rotat]
#Column	Teff	(I5)	Adopted effective temperature	[ucd=phys.temperature.effective]
#Column	r_Teff	(I2)	Reference for Teff (G2)	[ucd=meta.ref;pos.frame]
#Column	logLstar	(F5.2)	Stellar luminosity obtained from the Gaia parallax (Gaia Collaboration 2018A&A...616A...1G, Cat. I/345)	[ucd=phys.luminosity]
#Column	SpType	(a22)	Spectral type ((Be) indicates classical Be star)	[ucd=src.spType]
#Column	SimbadName	(a12)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	OName	VarType	Vmag	nurot	Arot	S/N	NH	ve	vsini	Teff	r_Teff	logLstar	SpType	SimbadName	_RA	_DE
 	 	 	 	mag	d-1	ppm	 	 	km/s	km/s	K	 	[Lsun]	 	 	deg	deg
--------	--------------	------------	-----------	------	------	-----	--	-	---	---	-----	--	-----	----------------------	------------	---------	---------
       1	EPIC 210788932	HD 23016    	ROT        	 5.690	 1.802	 2743	39	0	351	260	11463	 6	 2.36	B8Ve?(Be)             	HD 23016    	055.57895	+19.70025
       2	EPIC 211116936	HD 23324    	SPB+ROT    	 5.640	 1.543	  161	19	1	252	206	12218	 6	 2.32	B8:IV/V               	HD 23324    	056.29058	+24.83926
       3	EPIC 211028385	HD 23753    	ROT        	 5.450	 1.808	   57	18	1	308	292	11899	 6	 2.31	B8IV/V                	HD 23753    	057.08674	+23.42125
       4	EPIC 211054599	HD 23964    	SXARI(UV)  	 6.740	 0.633	  470	26	1	 77	 21	10190	 6	 1.75	B9.5VspSiSrCr         	HD 23964    	057.49190	+23.84869
       5	EPIC 210964459	HD 26571    	SXARI(ACV:)	 6.120	 0.063	 8910	40	0	 22	 22	11430	 6	 2.85	B9IIIp:(Si)           	HD 26571    	063.21354	+22.41347
       6	EPIC 202061205	HD 253049   	ROT        	 9.620	 0.294	 1714	23	1	 90	184	22570	 1	 3.93	B3III                 	HD 253049   	092.92883	+20.12680
       7	EPIC 211311439	HD 74521    	SXARI(ACV) 	 5.660	 0.144	 3938	10	0	 29	 18	10615	 6	 2.26	B9pSiCr               	HD 74521    	131.18765	+10.08167
       8	EPIC 201232619	HD 97991    	ROT        	 7.410	 0.496	  128	17	1	323	137	 9956	 6	 3.16	B2/3V                 	HD 97991    	169.04880	-03.47197
       9	EPIC 204760247	HD 142883   	ROT        	 5.841	 1.103	 2562	18	0	254	 19	 9648	 6	 2.21	B3V                   	HD 142883   	239.41860	-20.98308
      10	EPIC 204134887	HD 142884   	SXARI(ACV) 	 6.777	 1.245	 5815	35	2	200	138	 9979	 6	 1.95	kB8hB4HeB9V Si4200    	HD 142884   	239.45334	-23.52730
      11	EPIC 204348206	HD 143600   	ROT(RS:)   	 7.330	 3.922	  205	33	3	452	265	 9087	 6	 1.50	B9Vann                	HD 143600   	240.55648	-22.68756
      12	EPIC 204095429	HD 144844   	SXARI      	 5.880	 0.116	 1002	36	1	 25	 98	 9362	 6	 2.11	B9MnPGa               	HD 144844   	242.18217	-23.68541
      13	EPIC 204964091	HD 147010   	SXARI(ACV) 	 7.400	 0.255	12814	42	1	 25	 25	 9092	 6	 1.38	B9SiCrSr*             	HD 147010   	245.02289	-20.05640
      14	EPIC 205417334	HD 148860   	ROT        	 8.040	 0.920	  152	21	1	177	257	 9566	 6	 2.03	B9.5V                 	HD 148860   	247.91128	-17.71340
      15	KIC 8351193   	HD 177152   	ROT        	 7.570	 1.757	    2	10	1	168	180	10500	21	 1.59	A0VkB8mB7 {lambda} Boo	HD 177152   	285.34075	+44.38652
      16	EPIC 217692814	HD 177015   	ROT        	 7.800	 1.139	   50	13	1	448	202	10567	22	 2.83	B5V(e)(Be)            	HD 177015   	285.88803	-20.12859
      17	KIC 8087269   	ILF1 +43 30 	ROT        	11.710	 1.610	 1608	93	3	268	271	14500	23	 2.63	B5                    	KIC 8087269 	287.79064	+43.99921
      18	KIC 9278405   	ILF1 +45 284	SPB/ROT    	10.160	 1.805	    4	10	1	194	110	11710	 1	 1.79	B9                    	ILF1 +45 284	290.81451	+45.70355
      19	KIC 4056136   	BD+38 3580  	ROT        	 9.550	 2.370	   10	39	1	351	227	10500	21	 1.97	B9IV-Vnn              	BD+38 3580  	291.28487	+39.14002
      20	KIC 9468611   	            	ROT        	13.144	 2.193	   18	15	1	290	263	11710	 1	 1.98	B9IV                  	KIC 9468611 	293.33876	+46.09438
      21	KIC 6128830   	BD+41 3394  	SXARI      	 9.190	 0.206	 1526	98	1	 56	 15	12600	23	 2.82	B6pHgMn               	BD+41 3394  	293.45702	+41.47923
      22	KIC 7974841   	HD 187139   	ROT        	 8.160	 0.255	   68	23	2	 22	 33	10650	24	 1.55	B8V                   	HD 187139   	296.65235	+43.76338
      23	KIC 5477601   	            	ROT        	12.793	 0.192	  374	29	1	 25	 88	11710	 1	 2.12	B9V                   	KIC 5477601 	298.92575	+40.67956
      24	KIC 5130305   	HD 226700   	ROT        	10.210	 2.151	   11	15	2	330	155	10670	23	 2.03	B9                    	HD 226700   	299.14290	+40.24813
      25	KIC 8324268   	HD 189160   	SXARI(ACV:)	 7.900	 0.498	11890	21	2	 72	 31	11710	 1	 2.09	B9pSiCr               	HD 189160   	299.20898	+44.27112
      26	KIC 8389948   	HD 189159   	ROT        	 9.140	 0.994	   12	20	2	158	142	10240	23	 1.99	B9.5IV-V              	HD 189159   	299.23055	+44.34186
      27	KIC 5479821   	HD 226795   	ROT        	 9.890	 0.588	13586	25	2	119	 85	14810	23	 2.84	B8                    	HD 226795   	299.35321	+40.63569
      28	EPIC 206326769	HD 211838   	SXARI      	 5.346	 0.893	  105	27	1	314	 66	13520	 1	 3.16	B8IIIp:(MnHg?)        	HD 211838   	335.04965	-07.82110
      29	EPIC 206097719	HD 213781   	SXARI      	 9.000	 0.181	  456	24	0	 62	 34	15330	 1	 3.36	B7Si                  	HD 213781   	338.51910	-12.15822

