#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/639/A81&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36390081
#Name: J/A+A/639/A81
#Title: Variability of OB stars (Burssens+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	creator=Burssens S.	    First author or institution
#INFO	cites=bibcode:2020A&A...639A..81B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/639/A81	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36390081	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_639_A81_table2:
#Name: J/A+A/639/A81/table2
#Title: Overview of OB-type stars with available TESS photometry and IACOB/OWN spectroscopy with spectral type O4 to B3 considered in this work
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(I1)	Sample code (G1)	[ucd=meta.code;src.sample]
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	SpType	(a21)	Spectral type	[ucd=src.spType]
#Column	SpClass	(a15)	Spectral class	[ucd=src.spType]
#Column	logTeff	(F5.2)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	logLs	(F5.2)	? Spectroscopic luminosity (where Ls=Teff^4^/g) (2)	[ucd=stat.fit.param]
#Column	vsini	(I3)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	vmac	(I3)	? Macroturbulent velocity	[ucd=phys.veloc.microTurb]
#Column	Nsp	(I3)	Number of available spectra	[ucd=meta.number]
#Column	VarTypesp	(a8)	Spectral variability type (G3)	[ucd=meta.code;src.var]
#Column	VarTypeT	(a12)	TESS variability type (4)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Sample	Name	SpType	SpClass	logTeff	logLs	vsini	vmac	Nsp	VarTypesp	VarTypeT	Simbad	_RA	_DE
      53	2	HD 37043   	427395774	 	 0.046	 1.0	 0.50500	 0.00400	  1.600	 0.300	 2.06	SLF+SPB?     	
      54	3	HD 36960   	427373484	 	 0.046	 1.0	 1.00240	 0.00090	  0.111	 0.004	 3.46	SLF+SPB?     	
      55	3	HD 37042   	427395058	 	 0.046	 1.0	 0.20100	 0.00100	  0.167	 0.009	 2.78	SLF?         	
      56	3	HD 36959   	427373476	 	 0.046	 1.0	 0.29900	 0.00100	  0.530	 0.030	 3.17	cont.        	IV
      57	3	HD 43112   	434384707	 	 0.046	 1.0	 0.31100	 0.00200	  0.036	 0.003	 3.28	SLF?         	
      58	3	HD 37303   	332856560	 	 0.046	 5.0	11.78890	 0.00080	  0.350	 0.010	15.29	hybrid       	*
      59	3	HD 35912   	464839773	 	 0.046	 5.0	 0.83500	 0.00100	  4.000	 0.200	14.08	SPB          	*
      60	3	HD 48977   	202148345	+	 0.046	 5.0	 0.51600	 0.00200	  2.800	 0.200	12.00	SPB          	*
      61	3	HD 23466   	426588729	 	 0.038	 5.0	 0.40500	 0.00100	  6.200	 0.400	13.69	EB           	HARM, *
      62	3	HD 34816   	442871031	 	 0.038	 1.0	 0.79230	 0.00020	  1.560	 0.010	 9.49	rot          	*
      63	3	HD 46328   	 47763235	+	 0.046	 5.0	 4.77150	 0.00010	 12.910	 0.080	30.65	beta Cep     	*
      64	3	HD 50707   	 78897024	 	 0.021	 5.0	 5.41880	 0.00020	  3.870	 0.080	30.64	beta Cep     	*
      65	3	HD 37481   	332913301	 	 0.046	 5.0	 1.10520	 0.00080	  0.134	 0.004	 8.74	hybrid       	*
      66	3	HD 16582   	328161938	 	 0.039	 5.0	 6.20598	 0.00009	  8.200	 0.030	27.88	beta Cep     	*
      67	3	HD 37209   	388935529	 	 0.046	 5.0	 0.27090	 0.00090	  0.117	 0.004	11.02	hybrid       	*
      68	3	HD 26912   	283793973	 	 0.038	 5.0	 0.50000	 0.00300	  3.400	 0.400	15.43	SPB          	*
      69	3	HD 37711   	 59215060	 	 0.046	 5.0	 0.45030	 0.00070	  3.800	 0.100	18.57	SPB          	*
      70	3	HD 57539   	 10176636	 	 0.041	 5.0	 1.65180	 0.00070	  3.200	 0.100	16.16	SPB          	*
      71	3	HD 41753   	151464886	+	 0.046	 5.0	 0.66000	 0.00080	  5.300	 0.200	23.80	SPB          	*
      72	3	HD 224990  	313934087	 	 0.036	 5.0	 0.57330	 0.00030	  0.504	 0.007	19.72	SPB          	*
      73	3	HD 37018   	427393354	 	 0.046	 1.0	 0.83200	 0.00080	  0.148	 0.004	 4.35	SLF+SPB?     	
      74	4	HD 48434   	234052684	+	 0.046	 1.0	 0.03400	 0.00400	  4.700	 0.700	 2.63	SLF          	
      75	4	HD 61068   	349043273	 	 0.041	 5.0	 6.07200	 0.00100	  5.500	 0.300	18.98	beta Cep     	*
      76	4	HD 35468   	365572007	 	 0.046	 1.0	 0.27610	 0.00090	  0.195	 0.007	 2.94	SLF+rot?     	
      77	4	HD 44743   	 34590771	+	 0.046	 5.0	 3.97840	 0.00010	  5.860	 0.030	25.78	beta Cep     	*
      78	4	HD 54764   	 95513457	 	 0.041	 1.0	 0.49000	 0.00100	  4.900	 0.300	 3.10	SLF+SPB?     	
      79	4	HD 52089   	 63198307	 	 0.021	 1.0	 0.23400	 0.00050	  0.710	 0.030	 3.71	SLF+rot?     	
      80	4	HD 62747   	126586580	 	 0.041	 5.0	 0.51000	 0.00200	 12.000	 1.000	10.75	EB           	HARM, *
      81	4	HD 51309   	146908355	 	 0.021	 1.0	 0.11120	 0.00070	  3.800	 0.200	 3.51	SLF          	
      82	4	HD 46769   	281148636	 	 0.046	 1.0	 0.22490	 0.00090	  0.082	 0.003	 4.05	SLF+rot?     	
      83	4	HD 27563   	 37777866	 	 0.038	 1.0	 0.28200	 0.00060	  2.780	 0.080	 5.20	SLF+SPB      	
      84	4	HD 53244   	148109427	 	 0.041	 1.0	 0.16000	 0.00020	  0.755	 0.008	 7.12	SLF+rot      	
      85	4	HD 37128   	 66651575	+	 0.046	 1.0	 0.05900	 0.00300	  9.000	 1.000	 3.21	SLF+SPB?     	
      86	4	HD 38771   	427451176	+	 0.046	 1.0	 0.04600	 0.00200	  8.500	 0.700	 4.04	SLF+SPB?     	
      87	4	HD 53138   	 80466973	 	 0.041	 1.0	 0.12580	 0.00040	  3.990	 0.070	 5.62	SLF+SPB?     	
      88	4	HD 39985   	102281507	 	 0.046	 1.0	 0.28640	 0.00080	  0.102	 0.003	 4.20	SLF?         	
      89	5	HD 37022   	427394772	 	 0.046	 1.0	 0.30700	 0.00200	  0.970	 0.080	 2.41	cont.        	IV
      90	5	HD 46056   	234834992	 	 0.046	 1.0	 2.06300	 0.00100	  0.300	 0.020	 3.69	PQ           	IV
      91	5	HD 37061   	427393920	 	 0.046	 1.0	 0.91240	 0.00040	  0.930	 0.010	 5.88	rot          	*
      92	5	HD 37742   	 11360636	+	 0.046	 1.0	 0.28000	 0.00200	  4.400	 0.400	 2.69	SLF          	
      93	5	HD 57682   	187458882	 	 0.041	 1.0	 0.28700	 0.00080	  0.400	 0.010	 3.13	SLF          	
      94	5	HD 54879   	177860391	 	 0.041	 1.0	 1.00200	 0.00100	  0.112	 0.005	 4.18	SLF?         	
      95	5	HD 37479   	 11286209	 	 0.046	 1.0	 1.67890	 0.00090	  6.500	 0.200	 8.11	rot          	*
      96	6	HD 39680   	 91791971	 	 0.046	 1.0	 1.68700	 0.00200	  1.500	 0.100	 3.41	SLF+SPB?     	
      97	6	HD 45314   	438306275	 	 0.046	 1.0	 0.28700	 0.00200	  1.700	 0.100	 3.34	SLF+SPB?     	
      98	6	HD 58978   	139385056	 	 0.041	 1.0	 8.99100	 0.00100	  2.600	 0.200	 5.92	beta Cep     	*

#Table	J_A_A_639_A81_tablea2:
#Name: J/A+A/639/A81/tablea2
#Title: Detailed frequency analysis of multiperiodic pulsators for 26 stars
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(A1)	[A-F] Sample code (1)	[ucd=meta.code;src.sample]
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	FreqName	(A4)	Frequency designation	[ucd=meta.note]
#Column	Freq	(F7.4)	Frequency value	[ucd=em.freq]
#Column	e_Freq	(F7.4)	rms uncertainty on Freq	[ucd=stat.error]
#Column	Amp	(F7.3)	Amplitude of variation of Freq	[ucd=arith.rate;phot.mag]
#Column	e_Amp	(F6.3)	rms uncertainty on Amp	[ucd=stat.error]
#Column	phi	(F6.3)	[-0.5/0.5] Phase	[ucd=time.phase]
#Column	e_phi	(F6.3)	rms uncertainty on phi	[ucd=stat.error]
#Column	S/N	(F4.1)	Signal-to-noise ratio	[ucd=stat.snr]
#Column	Notes	(a9)	Notes (2)	[ucd=meta.note]
recno	Sample	Name	FreqName	Freq	e_Freq	Amp	e_Amp	phi	e_phi	S/N	Notes
 	 	 	 	d-1	d-1	mmag	mmag	 	 	 	
--------	-	-----------	----	-------	-------	-------	------	------	------	----	---------
       1	A	HD 44743   	nu1 	 3.9784	 0.0001	  5.860	 0.030	-0.147	 0.005	25.8	
       2	A	HD 44743   	nu2 	 4.1832	 0.0005	  0.990	 0.020	 0.260	 0.020	12.1	
       3	A	HD 44743   	nu3 	 0.2986	 0.0006	  0.830	 0.020	 0.390	 0.020	 6.3	
       4	A	HD 44743   	nu4 	 5.0460	 0.0020	  0.280	 0.020	 0.320	 0.070	 6.3	
       5	A	HD 44743   	nu5 	 7.9620	 0.0020	  0.240	 0.020	-0.430	 0.080	 6.3	2nu1
       6	A	HD 46328   	nu1 	 4.7715	 0.0001	 12.910	 0.080	 0.373	 0.006	30.6	
       7	A	HD 46328   	nu2 	 9.5430	 0.0001	  1.808	 0.009	 0.023	 0.005	30.4	2nu1
       8	A	HD 46328   	nu3 	14.3144	 0.0004	  0.358	 0.005	-0.140	 0.010	27.4	3nu1
       9	A	HD 46328   	nu4 	 0.2166	 0.0009	  0.118	 0.004	 0.100	 0.040	 6.1	
      10	A	HD 46328   	nu5 	19.0850	 0.0010	  0.080	 0.005	-0.310	 0.060	 6.1	4nu1
      11	A	HD 46328   	nu6 	 0.4140	 0.0010	  0.076	 0.004	-0.190	 0.050	 5.1	
      12	A	HD 46328   	nu7 	23.8600	 0.0070	  0.017	 0.005	-0.500	 0.300	 6.1	5nu1
      13	A	HD 50707   	nu1 	 5.4188	 0.0002	  3.870	 0.080	 0.240	 0.020	30.6	tp
      14	A	HD 50707   	nu2 	10.8370	 0.0005	  1.530	 0.060	 0.470	 0.040	27.8	2nu1
      15	A	HD 50707   	nu3 	 5.1842	 0.0004	  1.420	 0.050	 0.290	 0.040	16.9	tp
      16	A	HD 50707   	nu4 	 5.3084	 0.0005	  1.050	 0.050	-0.190	 0.040	14.9	tp
      17	A	HD 50707   	nu5 	 0.1208	 0.0005	  0.950	 0.040	 0.300	 0.040	 9.7	
      18	A	HD 50707   	nu6 	 5.5229	 0.0007	  0.700	 0.040	-0.260	 0.060	 9.6	
      19	A	HD 50707   	nu7 	 0.2950	 0.0006	  0.620	 0.030	 0.270	 0.060	 7.2	
      20	A	HD 50707   	nu8 	21.6720	 0.0090	  0.050	 0.040	-0.200	 0.800	 9.7	4nu1
      21	A	HD 50707   	nu9 	16.2500	 0.0010	  0.040	 0.040	-0.200	 0.900	 7.2	3nu1
      22	A	HD 61068   	nu1 	 6.0720	 0.0010	  5.500	 0.300	-0.340	 0.050	19.0	
      23	A	HD 61068   	nu2 	 5.9875	 0.0006	  5.400	 0.100	 0.020	 0.030	21.4	
      24	A	HD 61068   	nu3 	 6.4530	 0.0005	  2.060	 0.050	 0.290	 0.020	18.9	
      25	A	HD 61068   	nu4 	 0.6615	 0.0008	  0.680	 0.030	-0.450	 0.040	 8.6	
      26	A	HD 61068   	nu5 	 5.9220	 0.0010	  0.470	 0.030	-0.080	 0.060	 8.6	
      27	A	HD 61068   	nu6 	 0.7680	 0.0010	  0.460	 0.020	 0.370	 0.050	 5.8	
      28	A	HD 61068   	nu7 	 0.3590	 0.0010	  0.440	 0.020	-0.350	 0.050	 5.6	
      29	A	HD 61068   	nu8 	 7.6020	 0.0030	  0.180	 0.030	-0.300	 0.100	 5.8	
      30	A	HD 61068   	nu9 	12.1490	 0.0040	  0.170	 0.030	-0.400	 0.200	 8.6	2nu1
      31	A	HD 61068   	nu10	 6.2400	 0.0040	  0.130	 0.020	-0.300	 0.200	 5.8	
      32	A	HD 61068   	nu11	12.0100	 0.0060	  0.090	 0.030	-0.200	 0.300	 5.8	2nu2
      33	B	HD 35912   	nu1 	 0.8350	 0.0010	  4.000	 0.200	-0.150	 0.050	14.1	mp?
      34	B	HD 35912   	nu2 	 0.7230	 0.0010	  3.100	 0.200	 0.390	 0.050	12.7	mp?
      35	B	HD 35912   	nu3 	 0.6450	 0.0010	  1.730	 0.090	 0.030	 0.050	 8.6	mp?
      36	B	HD 35912   	nu4 	 1.1460	 0.0010	  1.330	 0.070	 0.360	 0.050	 7.1	
      37	B	HD 35912   	nu5 	 0.9980	 0.0020	  1.120	 0.070	-0.160	 0.060	 7.7	
      38	B	HD 35912   	nu6 	 0.9040	 0.0010	  1.110	 0.050	-0.060	 0.040	 7.9	mp?
      39	B	HD 35912   	nu7 	 0.5740	 0.0010	  0.840	 0.040	-0.040	 0.050	 6.4	mp?
      40	B	HD 35912   	nu8 	 0.4420	 0.0020	  0.520	 0.040	-0.200	 0.070	 5.7	
      41	B	HD 35912   	nu9 	 4.3450	 0.0060	  0.200	 0.050	-0.100	 0.200	 5.8	
      42	B	HD 26912   	nu1 	 0.5000	 0.0030	  3.400	 0.400	-0.500	 0.100	15.4	
      43	B	HD 26912   	nu2 	 0.2410	 0.0020	  3.300	 0.300	 0.310	 0.080	15.2	
      44	B	HD 26912   	nu3 	 0.5660	 0.0010	  3.000	 0.200	-0.020	 0.070	15.5	
      45	B	HD 26912   	nu4 	 0.0930	 0.0010	  1.210	 0.070	-0.460	 0.060	10.2	
      46	B	HD 26912   	nu5 	 0.4270	 0.0010	  0.950	 0.060	-0.140	 0.060	10.1	
      47	B	HD 26912   	nu6 	 0.1620	 0.0010	  0.840	 0.040	-0.190	 0.050	 9.4	
      48	B	HD 26912   	nu7 	 0.6830	 0.0010	  0.570	 0.030	 0.150	 0.060	 7.3	
      49	B	HD 26912   	nu8 	 0.3510	 0.0010	  0.490	 0.030	 0.060	 0.050	 7.1	
      50	B	HD 26912   	nu9 	 0.9370	 0.0020	  0.390	 0.030	 0.490	 0.080	 7.1	
      51	B	HD 26912   	nu10	 1.1180	 0.0010	  0.340	 0.020	-0.110	 0.070	 6.4	
      52	B	HD 26912   	nu11	 0.9970	 0.0010	  0.310	 0.010	 0.460	 0.050	 6.0	2nu1
      53	B	HD 26912   	nu12	 0.8420	 0.0020	  0.260	 0.020	-0.120	 0.080	 6.7	
      54	B	HD 57539   	nu1 	 1.6518	 0.0007	  3.200	 0.100	-0.270	 0.030	16.2	
      55	B	HD 57539   	nu2 	 1.5213	 0.0007	  2.100	 0.070	-0.240	 0.030	13.5	
      56	B	HD 57539   	nu3 	 0.8823	 0.0007	  1.350	 0.040	-0.040	 0.030	 9.6	
      57	B	HD 57539   	nu4 	 1.7363	 0.0008	  0.730	 0.030	 0.100	 0.040	 7.1	
      58	B	HD 57539   	nu5 	 0.1729	 0.0008	  0.650	 0.020	 0.370	 0.030	 6.8	
      59	B	HD 57539   	nu6 	 0.7750	 0.0009	  0.500	 0.020	 0.090	 0.040	 5.7	
      60	B	HD 57539   	nu7 	 0.2980	 0.0010	  0.360	 0.020	 0.460	 0.050	 5.0	
      61	B	HD 57539   	nu8 	 3.0590	 0.0020	  0.280	 0.020	-0.480	 0.080	 5.5	2nu2
      62	B	HD 48977   	nu1 	 0.5160	 0.0020	  2.800	 0.200	 0.010	 0.060	12.0	
      63	B	HD 48977   	nu2 	 0.7980	 0.0010	  1.670	 0.010	-0.390	 0.060	12.0	
      64	B	HD 48977   	nu3 	 0.6870	 0.0010	  1.580	 0.070	-0.180	 0.040	10.5	
      65	B	HD 48977   	nu4 	 1.2650	 0.0010	  1.010	 0.050	-0.130	 0.050	 7.5	
      66	B	HD 48977   	nu5 	 0.5860	 0.0010	  0.950	 0.040	 0.170	 0.050	 6.7	
      67	B	HD 48977   	nu6 	 0.9910	 0.0010	  0.620	 0.030	 0.230	 0.050	 5.9	
      68	B	HD 48977   	nu7 	 0.2820	 0.0010	  0.570	 0.030	-0.170	 0.050	 6.2	nu2-nu1
      69	B	HD 48977   	nu8 	 0.3516	 0.0010	  0.440	 0.020	-0.230	 0.040	 5.3	
      70	B	HD 48977   	nu9 	 0.2000	 0.0010	  0.420	 0.020	-0.280	 0.050	 5.7	
      71	B	HD 48977   	nu10	 1.9230	 0.0020	  0.330	 0.020	 0.350	 0.060	 5.0	
      72	B	HD 37711   	nu1 	 0.4503	 0.0007	  3.800	 0.100	 0.270	 0.030	18.6	
      73	B	HD 37711   	nu2 	 0.2450	 0.0010	  2.010	 0.090	-0.390	 0.040	12.2	
      74	B	HD 37711   	nu3 	 0.7170	 0.0010	  1.120	 0.050	 0.100	 0.040	 6.9	
      75	B	HD 37711   	nu4 	 0.6430	 0.0010	  0.960	 0.040	-0.090	 0.040	 7.5	
      76	B	HD 37711   	nu5 	 0.0846	 0.0008	  0.910	 0.030	-0.150	 0.030	 7.1	
      77	B	HD 37711   	nu6 	 1.3240	 0.0020	  0.710	 0.050	 0.450	 0.080	 6.2	3nu1
      78	B	HD 37711   	nu7 	 1.5390	 0.0010	  0.510	 0.030	 0.140	 0.050	 7.1	
      79	B	HD 37711   	nu8 	 1.0050	 0.0010	  0.280	 0.010	 0.210	 0.050	 5.4	
      80	B	HD 37711   	nu9 	 0.8178	 0.0010	  0.218	 0.008	 0.220	 0.040	 5.1	
      81	B	HD 41753   	nu1 	 0.6600	 0.0008	  5.300	 0.200	 0.250	 0.030	23.8	
      82	B	HD 41753   	nu2 	 0.7297	 0.0003	  3.250	 0.040	-0.160	 0.010	17.8	
      83	B	HD 41753   	nu3 	 0.1189	 0.0009	  0.790	 0.030	 0.470	 0.040	 7.9	
      84	B	HD 41753   	nu4 	 0.5150	 0.0010	  0.580	 0.030	 0.040	 0.040	 7.4	
      85	B	HD 41753   	nu5 	 0.9670	 0.0010	  0.470	 0.020	-0.210	 0.040	 6.3	
      86	B	HD 41753   	nu6 	 1.4010	 0.0010	  0.420	 0.020	-0.090	 0.040	 6.2	nu1+nu2
      87	B	HD 41753   	nu7 	 0.2946	 0.0010	  0.390	 0.010	 0.010	 0.040	 6.4	
      88	B	HD 224990  	nu1 	 0.5733	 0.0003	  0.504	 0.007	-0.150	 0.010	19.7	
      89	B	HD 224990  	nu2 	 1.1712	 0.0005	  0.174	 0.005	-0.330	 0.030	 9.9	
      90	B	HD 224990  	nu3 	 0.9027	 0.0005	  0.163	 0.004	-0.410	 0.020	 9.8	
      91	B	HD 224990  	nu4 	 0.7540	 0.0010	  0.053	 0.003	-0.140	 0.060	 5.1	
      92	C	HD 37303   	nu1 	11.7889	 0.0008	  0.350	 0.010	 0.010	 0.030	15.3	
      93	C	HD 37303   	nu2 	 2.1388	 0.0006	  0.338	 0.008	-0.150	 0.020	11.5	
      94	C	HD 37303   	nu3 	19.2920	 0.0010	  0.280	 0.010	 0.180	 0.050	15.3	2nu1-2nu2
      95	C	HD 37303   	nu4 	 1.8722	 0.0008	  0.211	 0.007	-0.270	 0.030	 8.6	
      96	C	HD 37303   	nu5 	13.4330	 0.0010	  0.200	 0.010	-0.150	 0.050	11.5	
      97	C	HD 37303   	nu6 	 1.6250	 0.0010	  0.117	 0.006	-0.020	 0.050	 5.7	
      98	C	HD 37303   	nu7 	 4.2560	 0.0020	  0.099	 0.006	 0.250	 0.060	 5.3	2nu2
      99	C	HD 37303   	nu8 	14.9800	 0.0020	  0.072	 0.006	-0.460	 0.090	 5.7	
     100	C	HD 37303   	nu9 	34.2710	 0.0030	  0.070	 0.008	 0.100	 0.100	 8.6	
     101	C	HD 37303   	nu10	23.6310	 0.0030	  0.049	 0.006	-0.300	 0.100	 5.7	
     102	C	HD 37303   	nu11	26.3090	 0.0030	  0.047	 0.006	-0.100	 0.100	 5.7	
     103	C	HD 37481   	nu1 	 1.1052	 0.0008	  0.134	 0.004	 0.070	 0.030	 8.7	mp1?
     104	C	HD 37481   	nu2 	 1.2600	 0.0010	  0.094	 0.004	-0.190	 0.040	 7.0	mp1?
     105	C	HD 37481   	nu3 	 0.5630	 0.0010	  0.077	 0.003	-0.300	 0.050	 7.0	0.5nu1
     106	C	HD 37481   	nu4 	 1.4320	 0.0010	  0.066	 0.003	 0.480	 0.050	 5.9	mp1?
     107	C	HD 37481   	nu5 	 8.3460	 0.0020	  0.065	 0.005	 0.170	 0.070	 8.7	mp2?
     108	C	HD 37481   	nu6 	 5.6320	 0.0020	  0.064	 0.005	-0.120	 0.070	 8.7	
     109	C	HD 37481   	nu7 	 0.8150	 0.0010	  0.056	 0.003	-0.290	 0.050	 5.4	
     110	C	HD 37481   	nu8 	 8.9010	 0.0020	  0.055	 0.004	-0.250	 0.080	 8.8	
     111	C	HD 37481   	nu9 	 6.6510	 0.0020	  0.054	 0.004	-0.160	 0.080	 8.8	
     112	C	HD 37481   	nu10	 7.6610	 0.0030	  0.037	 0.004	 0.470	 0.100	 7.0	
     113	C	HD 37481   	nu11	 8.2460	 0.0020	  0.034	 0.003	-0.360	 0.100	 5.8	mp2?
     114	C	HD 37481   	nu12	 8.1250	 0.0030	  0.025	 0.003	 0.300	 0.100	 5.4	mp2?
     115	C	HD 37209   	nu1 	 0.2709	 0.0009	  0.117	 0.004	 0.230	 0.030	11.0	
     116	C	HD 37209   	nu2 	 6.4880	 0.0010	  0.068	 0.004	 0.170	 0.050	 6.6	
     117	C	HD 37209   	nu3 	 8.0310	 0.0010	  0.068	 0.004	 0.060	 0.050	 6.3	
     118	C	HD 37209   	nu4 	 7.8270	 0.0010	  0.065	 0.004	 0.080	 0.060	 6.2	
     119	C	HD 37209   	nu5 	 7.0980	 0.0010	  0.061	 0.003	 0.160	 0.060	 6.9	
     120	C	HD 37209   	nu6 	 0.5830	 0.0010	  0.055	 0.003	-0.360	 0.050	 6.2	2nu1
     121	C	HD 37209   	nu7 	 7.5170	 0.0020	  0.053	 0.003	 0.480	 0.060	 6.9	
     122	C	HD 37209   	nu8 	 1.7170	 0.0020	  0.043	 0.003	-0.100	 0.070	 6.1	
     123	C	HD 37209   	nu9 	 0.4780	 0.0020	  0.043	 0.003	-0.350	 0.060	 5.4	
     124	C	HD 37209   	nu10	 0.1590	 0.0020	  0.043	 0.003	 0.470	 0.070	 5.7	
     125	C	HD 37209   	nu11	 8.1260	 0.0020	  0.037	 0.003	-0.300	 0.090	 6.9	
     126	C	HD 37209   	nu12	 7.6860	 0.0020	  0.037	 0.003	-0.190	 0.090	 6.9	
     127	C	HD 37209   	nu13	 6.7790	 0.0030	  0.031	 0.003	 0.300	 0.100	 6.9	nu1+nu2
     128	C	HD 37209   	nu14	 6.9010	 0.0030	  0.028	 0.003	 0.060	 0.100	 5.3	
     129	C	HD 37209   	nu15	 8.6370	 0.0030	  0.024	 0.003	 0.400	 0.100	 5.3	
     130	C	HD 37209   	nu16	 8.9000	 0.0030	  0.024	 0.003	 0.000	 0.100	 5.3	
     131	C	HD 37209   	nu17	 6.1680	 0.0030	  0.023	 0.003	 0.100	 0.100	 5.3	
     132	D	HD 58978   	nu1 	 8.9910	 0.0010	  2.600	 0.200	-0.300	 0.060	 5.9	
     133	D	HD 58978   	nu2 	 8.5139	 0.0009	  2.400	 0.100	-0.260	 0.040	 8.6	
     134	D	HD 58978   	nu3 	 3.6910	 0.0050	  1.000	 0.200	 0.400	 0.200	 5.9	
     135	D	HD 58978   	nu4 	13.3950	 0.0070	  0.600	 0.200	 0.000	 0.300	 5.9	
     136	D	HD 58978   	nu5 	10.8200	 0.0100	  0.300	 0.200	 0.500	 0.600	 5.9	
     137	E	HD 37061   	nu1 	 0.9124	 0.0004	  0.930	 0.010	-0.190	 0.020	 5.9	
     138	E	HD 37061   	nu2 	 0.7203	 0.0005	  0.510	 0.010	 0.150	 0.020	 5.0	
     139	E	HD 37479   	nu1 	 1.6789	 0.0009	  6.500	 0.200	-0.490	 0.040	 8.1	2nu2
     140	E	HD 37479   	nu2 	 0.8399	 0.0007	  5.200	 0.100	 0.210	 0.030	 8.1	
     141	E	HD 37479   	nu3 	 2.5195	 0.0004	  4.320	 0.070	 0.390	 0.020	 8.0	3nu2
     142	E	HD 37479   	nu4 	 4.1990	 0.0030	  3.000	 0.300	-0.400	 0.100	 8.1	5nu2
     143	E	HD 37479   	nu5 	 3.3585	 0.0001	  2.890	 0.020	-0.307	 0.006	 8.5	4nu2
     144	E	HD 37479   	nu6 	 5.8780	 0.0030	  1.200	 0.100	-0.200	 0.100	 8.0	7nu2
     145	E	HD 37479   	nu7 	 5.0380	 0.0060	  1.200	 0.300	-0.200	 0.200	 8.1	6nu2
     146	E	HD 37479   	nu8 	 7.5570	 0.0080	  0.500	 0.200	-0.100	 0.300	 8.0	9nu2
     147	F	HD 159176  	nu1 	 0.5929	 0.0005	  7.000	 0.200	 0.060	 0.020	15.4	
     148	F	HD 159176  	nu2 	 1.1200	 0.0006	  3.700	 0.100	-0.020	 0.030	11.4	2nuorb
     149	F	HD 159176  	nu3 	 2.2413	 0.0007	  2.600	 0.080	-0.310	 0.030	 9.4	4nuorb
     150	F	HD 159176  	nu4 	 3.3612	 0.0007	  1.950	 0.060	 0.410	 0.030	 9.8	6nuorb
     151	F	HD 159176  	nu5 	 0.1251	 0.0006	  1.160	 0.030	-0.360	 0.030	 5.0	
     152	F	HD 159176  	nu6 	 4.4830	 0.0010	  1.110	 0.060	 0.110	 0.050	 8.2	8nuorb
     153	F	HD 159176  	nu7 	 2.8019	 0.0010	  1.050	 0.050	-0.110	 0.040	 7.3	5nuorb
     154	F	HD 159176  	nu8 	 1.6810	 0.0009	  0.980	 0.040	 0.190	 0.040	 6.8	3nuorb
     155	F	HD 159176  	nu9 	 3.9230	 0.0010	  0.880	 0.050	-0.420	 0.060	 6.3	7nuorb
     156	F	HD 159176  	nu10	 5.0450	 0.0020	  0.670	 0.050	 0.290	 0.080	 6.9	9nuorb
     157	F	HD 159176  	nu11	 5.6040	 0.0020	  0.490	 0.050	-0.200	 0.100	 7.3	10nuorb
     158	F	HD 159176  	nu12	 6.1650	 0.0030	  0.310	 0.050	 0.000	 0.100	 6.8	11nuorb
